_id,institution,campus,quarter,departmentId,departmentName,courseId,courseName,sectionsCount
df5kx4LdWyRtsSiaD,uw.edu,seattle,SUMMER,EDC&I,EDC&I,EDC&I505,EDC&I505,2
dgayFrfuxLNESNSBC,uw.edu,seattle,SUMMER,BIOL,BIOL,BIOL119,BIOL119,2
dhE9Ky5aNDyMnW5kq,uw.edu,seattle,AUTUMN,ENGL,ENGL,ENGL353,ENGL353,1
dhGbMCHrPjvsTfhdA,uw.edu,seattle,AUTUMN,LING,LING,LING432,LING432,1
dkjSo6tuSQrM6r8J5,uw.edu,seattle,AUTUMN,JSISA,JSISA,JSISA535,JSISA535,1
dpm7zw8KWZsMJbjq7,uw.edu,seattle,AUTUMN,ECON,ECON,ECON425,ECON425,1
dpqbRZmabuNrbEhNX,uw.edu,seattle,AUTUMN,JAPAN,JAPAN,JAPAN321,JAPAN321,1
dq9F5X9viShPHwefD,uw.edu,seattle,SUMMER,SOC,SOC,SOC221,SOC221,2
dqknWZ3yjB5f5NfgZ,uw.edu,seattle,AUTUMN,NUTR,NUTR,NUTR526,NUTR526,1
dtAkqEjyEhcG4mAnp,uw.edu,seattle,SUMMER,ME,ME,ME495,ME495,3
duQuNytpPsLpX2zBj,uw.edu,seattle,SUMMER,STAT,STAT,STAT311,STAT311,2
dvm6tQebQfwZSjDL5,uw.edu,seattle,AUTUMN,BIOL,BIOL,BIOL220,BIOL220,1
dw7vEewv2oAYcM9Ha,uw.edu,seattle,SUMMER,ME,ME,ME478,ME478,1
dwpZcwaK3SxzH2Gyb,uw.edu,seattle,AUTUMN,PSYCH,PSYCH,PSYCH449,PSYCH449,1
dwypPiHvCg6jq37eb,uw.edu,seattle,SUMMER,QSCI,QSCI,QSCI381,QSCI381,1
dxK9D4kzxx5MJ2G7u,uw.edu,seattle,AUTUMN,ACCTG,ACCTG,ACCTG527,ACCTG527,1
dzESBY63CfjkPocKL,uw.edu,seattle,SUMMER,EE,EE,EE215,EE215,1
dzcN9G3BWwKJfts4R,uw.edu,seattle,SUMMER,LAWB,LAWB,LAWB530,LAWB530,3
e2fWmJCgJFdZxMhDb,uw.edu,seattle,AUTUMN,FRENCH,FRENCH,FRENCH201,FRENCH201,3
e49sxYDP7H5z5X2v4,uw.edu,seattle,SUMMER,EDPSY,EDPSY,EDPSY491,EDPSY491,1
e6jRkFWCTCJdW8TMh,uw.edu,seattle,AUTUMN,ME,ME,ME599,ME599,2
eCkKBXzJHzrJZ4Kpd,uw.edu,seattle,SUMMER,ESL,ESL,ESL105,ESL105,1
eJWujCx4oCwWpajRW,uw.edu,seattle,AUTUMN,ITAL,ITAL,ITAL301,ITAL301,1
eL4rPbBWnETzdDpCi,uw.edu,seattle,SUMMER,ENGL,ENGL,ENGL346,ENGL346,1
eMevzukRSMAaYN4Jr,uw.edu,seattle,AUTUMN,AMATH,AMATH,AMATH512,AMATH512,1
eQaeCsPwqTFGCoGXA,uw.edu,seattle,AUTUMN,CHID,CHID,CHID495,CHID495,1
eQi7NecLD8QgjSYFF,uw.edu,seattle,SUMMER,CSE,CSE,CSE373,CSE373,1
eSka9F6RWN2cfdCQm,uw.edu,seattle,SUMMER,ARAB,ARAB,ARAB105,ARAB105,1
eaHTSi6idmWyXYGaH,uw.edu,seattle,AUTUMN,LAWB,LAWB,LAWB515,LAWB515,1
eb5pcM3eR7T5W3fa9,uw.edu,seattle,AUTUMN,GERMAN,GERMAN,GERMAN301,GERMAN301,1
ebai3tn66ph2mzTo3,uw.edu,seattle,AUTUMN,PHYS,PHYS,PHYS543,PHYS543,2
edzAFDiYYavarPbPr,uw.edu,seattle,AUTUMN,HCDE,HCDE,HCDE539,HCDE539,2
egmWQWCiyaADe87jG,uw.edu,seattle,SUMMER,LATIN,LATIN,LATIN300,LATIN300,1
ekQ8okG3Sceyts5Qw,uw.edu,seattle,AUTUMN,PUBPOL,PUBPOL,PUBPOL594,PUBPOL594,1
encS3kK2E2oFPoRc4,uw.edu,seattle,AUTUMN,DANCE,DANCE,DANCE550,DANCE550,1
enpkvbhmeoor3SvmC,uw.edu,seattle,AUTUMN,MGMT,MGMT,MGMT311,MGMT311,1
epfKfAXHmSyYtmF4R,uw.edu,seattle,SUMMER,PSYCH,PSYCH,PSYCH306,PSYCH306,1
esxsCFqki7k6hx2jL,uw.edu,seattle,AUTUMN,AA,AA,AA595,AA595,2
euca9c88Nrh2qQAFm,uw.edu,seattle,AUTUMN,ACCTG,ACCTG,ACCTG440,ACCTG440,1
euisFBWjS7F8z2pFv,uw.edu,seattle,AUTUMN,PHYS,PHYS,PHYS582,PHYS582,1
ewd3YzK5ngwjfJzPj,uw.edu,seattle,AUTUMN,GWSS,GWSS,GWSS345,GWSS345,1
ezT8Meue939KoyM9h,uw.edu,seattle,SUMMER,EE,EE,EE271,EE271,1
ezisPzkjqkNpCkFRr,uw.edu,seattle,SUMMER,PHYS,PHYS,PHYS114,PHYS114,1
f37k5r6pthQyADyHW,uw.edu,seattle,AUTUMN,BIOL,BIOL,BIOL180,BIOL180,2
f8Hj3bahwca3kxMJ4,uw.edu,seattle,SUMMER,HCDE,HCDE,HCDE598,HCDE598,1
f8RicacbWsn8t5Bwo,uw.edu,seattle,AUTUMN,ASTR,ASTR,ASTR322,ASTR322,1
f9dbnzYdvCcaAxrsG,uw.edu,seattle,AUTUMN,LAWB,LAWB,LAWB523,LAWB523,10
fEDYwbwmjnamE3ZBw,uw.edu,seattle,SUMMER,ACCTG,ACCTG,ACCTG321,ACCTG321,1
fER3qrnNgNezRZWzn,uw.edu,seattle,AUTUMN,COM,COM,COM270,COM270,1
fEfssCpDeSWRHpEfF,uw.edu,seattle,AUTUMN,SCAND,SCAND,SCAND505,SCAND505,1
fFjJqYNB2mc8FWvWC,uw.edu,seattle,AUTUMN,PSYCH,PSYCH,PSYCH209,PSYCH209,1
fH7H77Ry52p7TN7e5,uw.edu,seattle,AUTUMN,ACCTG,ACCTG,ACCTG219,ACCTG219,1
fJW6vozHpufCmH4g6,uw.edu,seattle,SUMMER,JSISA,JSISA,JSISA459,JSISA459,1
fLnj5q4C4KkCZQ4bN,uw.edu,seattle,AUTUMN,ATMS,ATMS,ATMS101,ATMS101,1
fPpeRcyzYqvMrkthj,uw.edu,seattle,AUTUMN,REHAB,REHAB,REHAB544,REHAB544,2
fQixy8ijBdBcSc5Hm,uw.edu,seattle,SUMMER,EDC&I,EDC&I,EDC&I494,EDC&I494,1
fRSWTnYJHaHvS8nBP,uw.edu,seattle,AUTUMN,SOC,SOC,SOC510,SOC510,1
fWnMgwRAoZxYdsjaQ,uw.edu,seattle,SUMMER,EE,EE,EE474,EE474,1
